unique_id,ds,gen_forecast,week_day
FR,2016-11-01 00:00:00,49118.0,1
FR,2016-11-01 01:00:00,47890.0,1
FR,2016-11-01 02:00:00,47158.0,1
FR,2016-11-01 03:00:00,45991.0,1
FR,2016-11-01 04:00:00,45378.0,1
FR,2016-11-01 05:00:00,45471.0,1
FR,2016-11-01 06:00:00,45781.0,1
FR,2016-11-01 07:00:00,46135.0,1
FR,2016-11-01 08:00:00,46257.0,1
FR,2016-11-01 09:00:00,46982.0,1
FR,2016-11-01 10:00:00,46648.0,1
FR,2016-11-01 11:00:00,46556.0,1
FR,2016-11-01 12:00:00,46976.0,1
FR,2016-11-01 13:00:00,47068.0,1
FR,2016-11-01 14:00:00,46459.0,1
FR,2016-11-01 15:00:00,46186.0,1
FR,2016-11-01 16:00:00,46295.0,1
FR,2016-11-01 17:00:00,46919.0,1
FR,2016-11-01 18:00:00,50224.0,1
FR,2016-11-01 19:00:00,51960.0,1
FR,2016-11-01 20:00:00,51040.0,1
FR,2016-11-01 21:00:00,49577.0,1
FR,2016-11-01 22:00:00,49011.0,1
FR,2016-11-01 23:00:00,49661.0,1
BE,2016-11-01 00:00:00,49118.0,1
BE,2016-11-01 01:00:00,47890.0,1
BE,2016-11-01 02:00:00,47158.0,1
BE,2016-11-01 03:00:00,45991.0,1
BE,2016-11-01 04:00:00,45378.0,1
BE,2016-11-01 05:00:00,45471.0,1
BE,2016-11-01 06:00:00,45781.0,1
BE,2016-11-01 07:00:00,46135.0,1
BE,2016-11-01 08:00:00,46257.0,1
BE,2016-11-01 09:00:00,46982.0,1
BE,2016-11-01 10:00:00,46648.0,1
BE,2016-11-01 11:00:00,46556.0,1
BE,2016-11-01 12:00:00,46976.0,1
BE,2016-11-01 13:00:00,47068.0,1
BE,2016-11-01 14:00:00,46459.0,1
BE,2016-11-01 15:00:00,46186.0,1
BE,2016-11-01 16:00:00,46295.0,1
BE,2016-11-01 17:00:00,46919.0,1
BE,2016-11-01 18:00:00,50224.0,1
BE,2016-11-01 19:00:00,51960.0,1
BE,2016-11-01 20:00:00,51040.0,1
BE,2016-11-01 21:00:00,49577.0,1
BE,2016-11-01 22:00:00,49011.0,1
BE,2016-11-01 23:00:00,49661.0,1
