Country,Date,Exports
Algeria,1960-12-31,39.043172595018
Algeria,1961-12-31,46.2445568889055
Algeria,1962-12-31,19.79387267512
Algeria,1963-12-31,24.6846820545111
Algeria,1964-12-31,25.0840587279266
Algeria,1965-12-31,22.6039435563255
Algeria,1966-12-31,25.9861975178091
Algeria,1967-12-31,23.434416768712
Algeria,1968-12-31,23.1356346033587
Algeria,1969-12-31,23.7887768242961
Algeria,1970-12-31,22.0727334005425
Algeria,1971-12-31,18.4425191541398
Algeria,1972-12-31,20.4495619832458
Algeria,1973-12-31,25.5036630012744
Algeria,1974-12-31,38.7490436138728
Algeria,1975-12-31,33.6889362162921
Algeria,1976-12-31,33.0545839253536
Algeria,1977-12-31,30.58656693011
Algeria,1978-12-31,25.5358367212767
Algeria,1979-12-31,31.1483002053416
Algeria,1980-12-31,34.3384614657894
Algeria,1981-12-31,34.5872507738721
Algeria,1982-12-31,30.9248563230201
Algeria,1983-12-31,27.9418061120348
Algeria,1984-12-31,25.7100161819841
Algeria,1985-12-31,23.5839328880834
Algeria,1986-12-31,12.8547573361278
Algeria,1987-12-31,14.2724747252216
Algeria,1988-12-31,15.5078678786413
Algeria,1989-12-31,18.6392633357627
Algeria,1990-12-31,23.4436850828471
Algeria,1991-12-31,29.11782217052
Algeria,1992-12-31,25.3195942793437
Algeria,1993-12-31,21.7838769961664
Algeria,1994-12-31,22.5307252452381
Algeria,1995-12-31,26.1947759790559
Algeria,1996-12-31,29.7604483251847
Algeria,1997-12-31,30.9063113798645
Algeria,1998-12-31,22.5783540098039
Algeria,1999-12-31,28.150113118469
Algeria,2000-12-31,42.0697177213416
Algeria,2001-12-31,36.6893054432186
Algeria,2002-12-31,35.5045367079002
Algeria,2003-12-31,38.2488294222687
Algeria,2004-12-31,40.0532239019033
Algeria,2005-12-31,47.2051950916585
Algeria,2006-12-31,48.8106865549172
Algeria,2007-12-31,47.0681648423813
Algeria,2008-12-31,47.9733430015871
Algeria,2009-12-31,35.3716518568122
Algeria,2010-12-31,38.4445473501205
Algeria,2011-12-31,38.7881186400386
Algeria,2012-12-31,36.8905478100074
Algeria,2013-12-31,33.2098978857357
Algeria,2014-12-31,30.4876572080909
Algeria,2015-12-31,23.1717780134205
Algeria,2016-12-31,20.8724852102256
Algeria,2017-12-31,22.6322322911166
