unique_id,ds,y
Australia,1960-12-31,10276477
Australia,1961-12-31,10483000
Australia,1962-12-31,10742000
Australia,1963-12-31,10950000
Australia,1964-12-31,11167000
Australia,1965-12-31,11388000
Australia,1966-12-31,11651000
Australia,1967-12-31,11799000
Australia,1968-12-31,12009000
Australia,1969-12-31,12263000
Australia,1970-12-31,12507000
Australia,1971-12-31,12937000
Australia,1972-12-31,13177000
Australia,1973-12-31,13380000
Australia,1974-12-31,13723000
Australia,1975-12-31,13893000
Australia,1976-12-31,14033000
Australia,1977-12-31,14192000
Australia,1978-12-31,14358000
Australia,1979-12-31,14514000
Australia,1980-12-31,14692000
Australia,1981-12-31,14923260
Australia,1982-12-31,15184247
Australia,1983-12-31,15393472
Australia,1984-12-31,15579391
Australia,1985-12-31,15788312
Australia,1986-12-31,16018350
Australia,1987-12-31,16263874
Australia,1988-12-31,16532164
Australia,1989-12-31,16814416
Australia,1990-12-31,17065128
Australia,1991-12-31,17284036
Australia,1992-12-31,17478635
Australia,1993-12-31,17634808
Australia,1994-12-31,17805468
Australia,1995-12-31,18004882
Australia,1996-12-31,18224767
Australia,1997-12-31,18423037
Australia,1998-12-31,18607584
Australia,1999-12-31,18812264
Australia,2000-12-31,19028802
Australia,2001-12-31,19274701
Australia,2002-12-31,19495210
Australia,2003-12-31,19720737
Australia,2004-12-31,19932722
Australia,2005-12-31,20176844
Australia,2006-12-31,20450966
Australia,2007-12-31,20827622
Australia,2008-12-31,21249199
Australia,2009-12-31,21691653
Australia,2010-12-31,22031750
Australia,2011-12-31,22340024
Australia,2012-12-31,22733465
Australia,2013-12-31,23128129
Australia,2014-12-31,23475686
Australia,2015-12-31,23815995
Australia,2016-12-31,24190907
Australia,2017-12-31,24592588
