Country,Date,GDP
China,1960-12-31,59716.2493109742
China,1961-12-31,50056.685957359
China,1962-12-31,47209.1864153555
China,1963-12-31,50706.6145261472
China,1964-12-31,59708.1252038643
China,1965-12-31,70436.0086424251
China,1966-12-31,76720.0054918964
China,1967-12-31,72881.3648824909
China,1968-12-31,70846.2760514727
China,1969-12-31,79705.6148547674
China,1970-12-31,92602.6348916589
China,1971-12-31,99800.5937909886
China,1972-12-31,113689.308020343
China,1973-12-31,138543.170458064
China,1974-12-31,144188.970821072
China,1975-12-31,163429.530659638
China,1976-12-31,153939.265947775
China,1977-12-31,174935.933078663
China,1978-12-31,218502.169137562
China,1979-12-31,263711.728825005
China,1980-12-31,306165.314855846
China,1981-12-31,289576.581830449
China,1982-12-31,283928.672988111
China,1983-12-31,304748.904221289
China,1984-12-31,313728.547706897
China,1985-12-31,309835.803013587
China,1986-12-31,300514.204520969
China,1987-12-31,327089.403146073
China,1988-12-31,407844.670393058
China,1989-12-31,456289.122063159
China,1990-12-31,394565.747349055
China,1991-12-31,413375.445354473
China,1992-12-31,493136.961883002
China,1993-12-31,619111.946511628
China,1994-12-31,564321.854521013
China,1995-12-31,734484.834573582
China,1996-12-31,863749.314718538
China,1997-12-31,961601.980984623
China,1998-12-31,1029060.74762065
China,1999-12-31,1094010.48267739
China,2000-12-31,1211331.65182985
China,2001-12-31,1339400.89715344
China,2002-12-31,1470557.65482411
China,2003-12-31,1660280.54387095
China,2004-12-31,1955346.76875764
China,2005-12-31,2285961.14990426
China,2006-12-31,2752118.65722164
China,2007-12-31,3550327.80302469
China,2008-12-31,4594336.78575206
China,2009-12-31,5101691.12435841
China,2010-12-31,6087191.74673857
China,2011-12-31,7551545.70351814
China,2012-12-31,8532185.38169643
China,2013-12-31,9570471.11184782
China,2014-12-31,10475624.9442901
China,2015-12-31,11061572.6185948
China,2016-12-31,11233313.7302885
China,2017-12-31,12310491.3339809
